,no_of_vertices,cds_size,time,cds_size,time,cds_size,time,cds_size,time
0,3,1,0.008153200149536133,1,0.0,1,0.0,1,0.004152059555053711
1,7,3,0.010339498519897461,2,0.002272367477416992,2,0.0,3,0.015229463577270508
2,15,7,0.009803533554077148,6,0.027022838592529297,6,0.010665655136108398,7,0.0729360580444336
3,31,15,0.04739212989807129,10,0.08048081398010254,10,0.038355350494384766,15,0.48796510696411133
4,63,31,0.13504409790039062,26,1.106480360031128,26,0.4274134635925293,31,3.528062343597412
5,127,63,0.35456109046936035,42,6.686204671859741,42,3.4993515014648438,63,36.76524996757507
6,255,127,2.310739278793335,106,67.05322027206421,106,33.50032830238342,127,309.2779655456543
